Faculty,Block,Floor,Room/Facilities,Label,Color Code,Coordinate
Computer Science and Information Technology,B,F1,Main Stair - Down,96,"(55, 178, 159)","[(165,159),(166,159),(167,159),(168,159),(169,159),(170,159),(171,159),(172,159),(173,159)]"
Computer Science and Information Technology,B,F1,Back Stair,99,"(156, 99, 53)","[(137,25),(138,25),(139,25),(140,25),(141,25),(142,25),(143,25),(144,25),(145,25),(146,25)]"
Computer Science and Information Technology,B,F1,Right Stair,98,"(124, 4, 48)","[(255,96),(255,97),(255,98),(255,99),(255,100),(255,101),(255,102),(255,103),(255,104),(255,105)]"
Computer Science and Information Technology,B,F1,Front Stair,97,"(213, 112, 96)","[(136,254),(137,254),(138,254),(139,254),(140,254),(141,254),(142,254),(143,254),(144,254),(145,254),(146,254)]"
Computer Science and Information Technology,B,F1,Lift,100,"(247, 142, 222)","[(155,230),(156,230),(157,230),(158,230),(159,230),(160,230)]"
Computer Science and Information Technology,A,F1,Linkbridge,18,"(39, 189, 27)","[(39,111),(39,122),(39,121),(39,120),(39,112),(39,113),(39,114),(39,115),(39,116),(39,117),(39,118),(39,119)]"
Computer Science and Information Technology,B,F0,Right Stair,80,"(168, 207, 133)","[(269,95),(269,96),(269,97),(269,98),(269,99),(269,100),(269,101)]"
Computer Science and Information Technology,B,F0,Back Stair,81,"(196, 223, 30)","[(140,32),(141,32),(142,32)]"
Computer Science and Information Technology,A,F1,Left Stair,28,"(190, 0, 247)","[(29,123),(38,123),(30,123),(31,123),(32,123),(33,123),(34,123),(35,123),(36,123),(37,123)]"
Computer Science and Information Technology,A,F1,Right Stair,29,"(220, 52, 89)","[(322,115),(322,116),(322,117),(322,118),(322,119)]"
Computer Science and Information Technology,A,F1,Main Stair - Up,30,"(43, 244, 223)","[(180,226),(181,226),(182,226),(183,226),(184,226)]"
Computer Science and Information Technology,A,F1,Main Stair - Down Left,31,"(16, 61, 128)","[(141,226),(142,226),(143,226),(144,226),(145,226)]"
Computer Science and Information Technology,A,F1,Main Stair - Down Right,32,"(92, 88, 72)","[(214,226),(215,226),(216,226),(217,226),(218,226)]"
Computer Science and Information Technology,A,F0,Main Stair,40,"(218, 17, 122)","[(162,237),(163,237),(164,237),(165,237),(166,237)]"
Computer Science and Information Technology,A,F0,Right Stair,42,"(221, 105, 48)","[(310,168)]"
Computer Science and Information Technology,A,F0,Left Stair,43,"(190, 94, 102)","[(10,184),(11,184),(12,184),(13,184),(14,184)]"
Computer Science and Information Technology,A,F2,Main Stair,46,"(12, 204, 94)","[(147,226),(148,226),(149,226),(150,226),(151,226)]"
Computer Science and Information Technology,A,F2,Left Stair,51,"(242, 145, 191)","[(11,114),(11,115),(11,116),(11,117),(11,118)]"
Computer Science and Information Technology,A,F2,Right Stair,52,"(38, 201, 159)","[(293,114),(293,115),(293,116),(293,117),(293,118)]"
