,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"PROGRAM: STU_MVT4
MUKASURAT: 1/1",,,,,,,,,,"TARIKH: 30/05/2024
MASA: 11:34 AM ",,,,,,,,,,
,,,,Module Offering,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Module Code,Module Name,,,,Occurrence,MAV Name,,,Academic Year,,Period Slot,,,Target,Activity,Weeks,Day / Start Duration ,Tutor,Location,Room
,GBA0021,APPRECIATING LITERATURE,,,,1,APPRECIATING LITERATURE   (This course will be taught in English),,,2023,,S2,,,100,ONL,,"WEDNESDAY
14:00 - 16:00 (02:00)",DR. VANDANA SAXENA,UMKL,
,GBA0022,AN OVERVIEW OF EUROPEAN CIVILISATION,,,,1,AN OVERVIEW OF EUROPEAN CIVILISATION,,,2023,,S2,,,30,LEC,,"MONDAY
10:00 - 12:00 (02:00)",DR. NUR DAYANA BINTI MOHAMED ARIFFIN,UMKL,BS 3 FSSS
,GBA0048,MODERNIZATION PROCESS OF EAST ASIA,,,,1,MODERNIZATION PROCESS OF EAST ASIA (ENGLISH LANGUAGE),,,2023,,S2,,,100,ONL,,"TUESDAY
10:00 - 12:00 (02:00)",DR. TAN SOO KEE,UMKL,
,GBB0031,DESIGN THINKING,,,,1,DESIGN THINKING,,,2023,,S2,,,30,ONL,,"TUESDAY
11:00 - 13:00 (02:00)",SR DR. ZURAINI BINTI MD ALI,UMKL,BK PG2 FAB
,GBB0046,CONCEPT AND PRACTICE OF HOME OWNERSHIP,,,,1,CONCEPT AND PRACTICE OF HOME OWNERSHIP,,,2023,,S2,,,50,ONL,,"THURSDAY
14:00 - 16:00 (02:00)",DR. AIN FARHANA BINTI JAMALUDIN,UMKL,
,GBB0052,HEALTHY WORKSPACE,,,,1,HEALTHY WORKSPACE,,,2023,,S2,,,30,ONL,,"WEDNESDAY
11:00 - 13:00 (02:00)",DR. NURATIQAH AISYAH BINTI AWANG@MAT NAWI,UMKL,BK PG2 FAB
,GBC0004,PERSONAL FINANCE,,,,1,PERSONAL FINANCE,,,2023,,S2,,,35,ONL,,"MONDAY
12:00 - 14:00 (02:00)",DR. ADILAH BINTI A. WAHAB,UMKL,
,,,,,,2,PERSONAL FINANCE,,,2023,,S2,,,36,ONL,,"THURSDAY
12:00 - 14:00 (02:00)",DR. ADILAH BINTI A. WAHAB,UMKL,
,GBC0005,UNDERSTANDING CONSUMER PSYCHOLOGY,,,,1,UNDERSTANDING CONSUMER PSYCHOLOGY,,,2023,,S2,,,43,ONL,,"WEDNESDAY
12:00 - 14:00 (02:00)",PROF. DR. NORBANI BINTI CHE HA,UMKL,
,GBC0019,PERSONAL INCOME TAX,,,,1,PERSONAL INCOME TAX,,,2023,,S2,,,40,ONL,,"FRIDAY
15:00 - 17:00 (02:00)",DR. HAWARIAH BINTI DAL NIAL,UMKL,
,GBH0033,DEVELOPING WORKPLACE SKILLS,,,,1,DEVELOPING WORKPLACE SKILLS,,,2023,,S2,,,50,ONL,,"MONDAY
10:00 - 12:00 (02:00)",DR. SONG SZE LOOI,UMKL,
,,,,,,2,DEVELOPING WORKPLACE SKILLS,,,2023,,S2,,,50,ONL,,"MONDAY
14:00 - 16:00 (02:00)",DR. SONG SZE LOOI,UMKL,
,GBH0045,THE ART OF SCIENCE COMMUNICATION,,,,1,THE ART OF SCIENCE COMMUNICATION,,,2023,,S2,,,50,ONL,,"MONDAY
10:00 - 12:00 (02:00)",DR. CHIN KIM LING,UMKL,
,,,,,,2,THE ART OF SCIENCE COMMUNICATION,,,2023,,S2,,,50,ONL,,"MONDAY
14:00 - 16:00 (02:00)",DR. CHIN KIM LING,UMKL,
,,,,,,,,,,,,,,,,,,"TUESDAY
10:00 - 12:00 (02:00)",DR. CHIN KIM LING,UMKL,
,GBI0001,PRINCIPLES OF MUAMALAT AND ISLAMIC MANAGEMENT,,,,1,PRINCIPLES OF MUAMALAT AND ISLAMIC MANAGEMENT,,,2023,,S2,,,50,LEC,,"MONDAY
14:00 - 15:50 (01:50)",DR. ISSA KHAN,UMKL,BS 12 API
,GBI0012,HADITH AND LIFE,,,,1,HADITH AND LIFE,,,2023,,S2,,,50,LEC,,"TUESDAY
14:00 - 15:50 (01:50)",ASSOCIATE PROF. DR. KHADHER BIN AHMAD,UMKL,BS 15 API
,,,,,,,,,,,,,,,,,,,PROF. DR. ISHAK BIN HJ SULIAMAN,UMKL,BS 15 API
,GBI0013,ISLAM AND SCIENCE,,,,1,ISLAM AND SCIENCE,,,2023,,S2,,,50,ONL,,"THURSDAY
10:00 - 11:50 (01:50)",DR. ASMAWATI BINTI MUHAMAD,UMKL,
,,,,,,,,,,,,,,,,,,,DR. FATIN NUR MAJDINA BINTI NORDIN,UMKL,
,,,,,,2,ISLAM AND SCIENCE,,,2023,,S2,,,50,LEC,,"TUESDAY
09:00 - 10:50 (01:50)",DR. RAIHAN BINTI ISMIL,UMKL,
,,,,,,3,ISLAM AND SCIENCE,,,2023,,S2,,,50,LEC,,"MONDAY
10:00 - 11:50 (01:50)",DR. SITI PATONAH BINTI MOHAMAD,UMKL,BS 12 API
,,,,,,4,ISLAM AND SCIENCE,,,2023,,S2,,,50,ONL,,"THURSDAY
10:00 - 11:50 (01:50)",DR. ATIFAH BINTI AHMAD YUSOFF,UMKL,
,,,,,,5,ISLAM AND SCIENCE,,,2023,,S2,,,0,LEC,,"MONDAY
11:00 - 12:50 (01:50)",DR. ATIFAH BINTI AHMAD YUSOFF,UMKL,BS 14 API
,,,,,,6,ISLAM AND SCIENCE,,,2023,,S2,,,0,ONL,,"MONDAY
10:00 - 11:50 (01:50)",DR. RAIHAN BINTI ISMIL,UMKL,
,,,,,,7,ISLAM AND SCIENCE,,,2023,,S2,,,0,LEC,,"MONDAY
10:00 - 11:50 (01:50)",DR. SITI PATONAH BINTI MOHAMAD,UMKL,BS 12 API
,GBI0014,QURAN AND CIVILIZATION,,,,1,QURAN AND CIVILIZATION,,,2023,,S2,,,50,LEC,,"THURSDAY
11:00 - 12:50 (01:50)",PROF. DR. MUSTAFFA BIN ABDULLAH,UMKL,BS 10 API
,GBK0050,INTRODUCTION TO JOURNALISM AND STORYTELLING IN DIGITAL AGE,,,,1,INTRODUCTION TO JOURNALISM AND STORYTELLING IN DIGITAL AGE,,,2023,,S2,,,50,ONL,,"FRIDAY
15:00 - 17:00 (02:00)",ASSOCIATE PROF. IR. DR. NAHRIZUL ADIB BIN KADRI,UMKL,
,GBL0008,MY CONSTITUTION,,,,1,MY CONSTITUTION,,,2023,,S2,,,50,LEC,,"TUESDAY
11:00 - 13:00 (02:00)",DR. MARYAM BINTI KHALID,UMKL,MCOURT B FUU
,,,,,,2,MY CONSTITUTION,,,2023,,S2,,,50,ONL,,"THURSDAY
10:00 - 12:00 (02:00)",DR. MARYAM BINTI KHALID,UMKL,MCOURT C FUU
,GBM0006,PHYSICS AND RADIATION IN LIFE,,,,1,PHYSICS AND RADIATION IN LIFE,,,2023,,S2,,,75,ONL,,"WEDNESDAY
10:00 - 12:00 (02:00)",DR. TAN LI KUO,UMKL,
,,,,,,,,,,,,,,,,,,,MR. MUHAMMAD SHAHRUN NIZAM BIN A DAMAN HURI,UMKL,
,,,,,,,,,,,,,,,,,,,ASSOCIATE PROF. DR. WOON KAI LIN,UMKL,
,,,,,,,,,,,,,,,,,,,PROF. DR. UNG NGIE MIN,UMKL,
,,,,,,,,,,,,,,,,,,,ASSOCIATE PROF. DR. JEANNIE WONG HSIU DING,UMKL,
,,,,,,,,,,,,,,,,,,,DR. AZLAN BIN CHE AHMAD,UMKL,
,,,,,,,,,,,,,,,,,,,EMERITUS PROF. DR. NG KWAN HOONG,UMKL,
,GBM0044,FACTS AND MYTHS ABOUT YOUR MEDICINES,,,,1,FACTS AND MYTHS ABOUT YOUR MEDICINES,,,2023,,S2,,,40,LEC,,"TUESDAY
10:00 - 12:00 (02:00)",PROF. DR. KIEW LIK VOON,UMKL,
,,,,,,,,,,,,,,,,,,,PROF. DR. WONG POOI FONG,UMKL,
,,,,,,,,,,,,,,,,,,,DR. NUR LISA BINTI ZAHARAN,UMKL,
,,,,,,,,,,,,,,,,,,, ,UMKL,
,,,,,,,,,,,,,,,,,,,ASSOCIATE PROF. DR. DHARMANI DEVI A/P MURUGAN,UMKL,
,,,,,,,,,,,,,,,,,,,DR. SHARIFAH ZAMIAH BINTI SYED ABDUL KADIR,UMKL,
,,,,,,,,,,,,,,,,,,,DR. HASSAN ALMOUSTAFA,UMKL,
,,,,,,,,,,,,,,,,,,,DR. MUHAMMAD FARID NAZER BIN MUHAMMAD FARUQU,UMKL,
,,,,,,,,,,,,,,,,,,,DR. ELSA HANIFFAH MEJIA MOHAMED,UMKL,
,,,,,,,,,,,,,,,,,,,DR. ZARIDATUL AINI BINTI IBRAHIM,UMKL,
,,,,,,,,,,,,,,,,,,,DR. SHAMSUL BIN MOHD ZAIN,UMKL,
,GBO0032,MEDICINES AND HEALTH,,,,1,MEDICINES AND HEALTH,,,2023,,S2,,,60,ONL,,"FRIDAY
15:00 - 17:00 (02:00)",DR. RAJA AHSAN AFTAB,UMKL,
,,,,,,,,,,,,,,,,,,, ,UMKL,
,,,,,,,,,,,,,,,,,,,DR. BAHARUDIN BIN IBRAHIM,UMKL,
,,,,,,,,,,,,,,,,,,,MADAM NOORASYIKIN BINTI SHAMSUDDIN,UMKL,
,,,,,,,,,,,,,,,,,,,DR. NUSAIBAH BINTI ABDUL RAHIM,UMKL,
,,,,,,,,,,,,,,,,,,,DR. LEE HONG GEE,UMKL,
,GBR0024,INTRODUCTION TO DRAMA AESTHETIC,,,,1,INTRODUCTION TO DRAMA AESTHETIC,,,2023,,S2,,,25,LEC,,"MONDAY
11:00 - 13:00 (02:00)",DR. ROSDEEN BIN SUBOH,UMKL,BK 2 PE PK
,GBS0023,DEALING WITH PSEUDOSCIENCE,,,,1,DEALING WITH PSEUDOSCIENCE,,,2023,,S2,,,102,ONL,,"MONDAY
17:00 - 18:50 (01:50)",DR. YUSRIZAM BIN SHARIFUDDIN,UMKL,
,GBS0025,CHEMISTRY IN EVERYDAY LIFE,,,,1,CHEMISTRY IN EVERYDAY LIFE,,,2023,,S2,,,50,ONL,,"TUESDAY
14:00 - 15:50 (01:50)",DR. NOR SAADAH BINTI MOHD YUSOF,UMKL,DK TERATAI FS
,,,,,,,,,,,,,,,,,,,DR. AZEANA BINTI ZAHARI,UMKL,DK TERATAI FS
,,,,,,2,CHEMISTRY IN EVERYDAY LIFE,,,2023,,S2,,,50,ONL,,"THURSDAY
14:00 - 15:50 (01:50)",DR. NOR SAADAH BINTI MOHD YUSOF,UMKL,DK TERATAI FS
,,,,,,,,,,,,,,,,,,,DR. AZEANA BINTI ZAHARI,UMKL,DK TERATAI FS
,GBS0026,ASTRONOMY AND THE UNIVERSE,,,,1,ASTRONOMY AND THE UNIVERSE,,,2023,,S2,,,10,LEC,,"TUESDAY
17:00 - 18:00 (01:00)",DR. NAZHATULSHIMA BINTI AHMAD,UMKL,DK 1 FS
,,,,,,,,,,,,,,,,,,"THURSDAY
17:00 - 18:00 (01:00)",DR. NAZHATULSHIMA BINTI AHMAD,UMKL,DK 1 FS
,GBS0028,BASIC STATISTICS,,,,1,BASIC STATISTICS,,,2023,,S2,,,10,LEC,,"MONDAY
09:00 - 09:50 (00:50)",DR. SHAHIZAT BIN AMIR,UMKL,DK 4 FS
,,,,,,,,,,,,,,,,,,"WEDNESDAY
09:00 - 09:50 (00:50)",DR. SHAHIZAT BIN AMIR,UMKL,DK 4 FS
,,,,,,,,,,,,,,,,,,"FRIDAY
09:00 - 09:50 (00:50)",DR. SHAHIZAT BIN AMIR,UMKL,DK 4 FS
,GBS0029,MATHEMATICAL EXPLORATIONS,,,,1,MATHEMATICAL EXPLORATIONS,,,2023,,S2,,,20,LEC,,"MONDAY
12:00 - 12:50 (00:50)",DR. OON SHEA MING,UMKL,BT MATE1 ISM FS
,,,,,,,,,,,,,,,,,,"WEDNESDAY
12:00 - 12:50 (00:50)",DR. OON SHEA MING,UMKL,BT MATE1 ISM FS
,GBS0030,PHILOSOPHY OF SCIENCE,,,,1,PHILOSOPHY OF SCIENCE,,,2023,,S2,,,25,LEC,,"TUESDAY
11:00 - 12:50 (01:50)",DR. MOHD ZUFRI BIN MAMAT,UMKL,DK IXORA FS
,,,,,,1RL,PHILOSOPHY OF SCIENCE,,,2023,,S2,,,25,LEC,,"TUESDAY
11:00 - 12:50 (01:50)",DR. MOHD ZUFRI BIN MAMAT,UMKL,DK IXORA FS
,GBT0002,CRITICAL THINKING AND PROBLEM SOLVING SKILLS,,,,1,CRITICAL THINKING AND PROBLEM SOLVING SKILLS,,,2023,,S2,,,30,ONL,,"TUESDAY
14:00 - 16:00 (02:00)",MR. YONG ZHIEN BAO,UMKL,
